v_link_id,time,area1,area2,area3
47877362801,01:00:00,50.0,55.6,0.0
47874090402,01:00:00,44.12,44.92,0.0
47878059701,01:00:00,33.03,66.97,0.0
57174250701,01:00:00,50.0,30.89,0.0
47871275102,01:00:00,48.32,14.42,0.0
47878060601,01:00:00,19.04,92.12,0.0
47871337502,01:00:00,47.64,18.44,0.0
47872982602,01:00:00,49.49,22.96,0.0
47877889701,01:00:00,40.25,68.24,0.0
47870749701,01:00:00,31.14,90.29,0.0
47876086401,01:00:00,48.86,48.98,0.0
47877929901,01:00:00,24.92,85.74,0.0
47871381401,01:00:00,47.15,16.12,0.0
57172604701,01:00:00,33.71,87.88,0.0
47877915901,01:00:00,19.59,83.92,0.0
47870286802,01:00:00,46.42,21.96,0.0
47871362401,01:00:00,49.72,11.08,0.0
47877866001,01:00:00,41.73,26.36,0.0
47870666001,01:00:00,47.78,40.33,0.0
47878073101,01:00:00,21.88,80.73,0.0
47871162702,01:00:00,49.79,11.05,0.0
47878052001,01:00:00,16.86,100.0,0.0
57170509101,01:00:00,53.73,22.76,0.0
47871416901,01:00:00,24.29,80.67,0.0
47872094202,01:00:00,41.49,38.66,0.0
47871317202,01:00:00,50.94,18.81,0.0
47872559902,01:00:00,37.9,51.61,0.0
47876086301,01:00:00,47.79,38.96,0.0
47873728201,01:00:00,47.56,59.77,0.0
47877609601,01:00:00,39.44,64.07,0.0
47875227001,01:00:00,41.02,53.39,0.0
47874140202,01:00:00,22.31,83.71,0.0
47872666301,01:00:00,33.76,53.18,0.0
47872101401,01:00:00,24.32,80.78,0.0
47877866002,01:00:00,50.0,4.79,0.0
47876085801,01:00:00,38.77,63.21,0.0
47871162701,01:00:00,47.22,32.74,0.0
47872559901,01:00:00,49.15,39.72,0.0
47872109602,01:00:00,47.96,22.07,0.0
47878060701,01:00:00,19.28,83.82,0.0
47877945001,01:00:00,33.27,79.18,0.0
47871256001,01:00:00,28.36,69.03,0.0
47871210502,01:00:00,23.44,83.38,0.0
47877363202,01:00:00,40.5,57.81,0.34
47877865901,01:00:00,30.79,65.8,0.0
47870747601,01:00:00,13.81,70.1,0.0
47870749801,01:00:00,47.33,33.59,0.0
47870484001,01:00:00,35.17,100.0,0.0
47872109601,01:00:00,42.95,19.84,0.0
47871573701,01:00:00,27.86,73.57,0.0
47875227002,01:00:00,27.61,77.25,0.0
47871361401,01:00:00,23.16,84.91,0.0
47877865902,01:00:00,44.55,48.07,0.0
47878060401,01:00:00,26.34,59.92,0.0
47871337501,01:00:00,47.94,31.65,0.0
47871573702,01:00:00,46.31,31.96,0.0
47875227101,01:00:00,15.9,90.05,0.0
47871294101,01:00:00,34.4,53.82,0.0
47871255602,01:00:00,34.32,59.79,0.0
47878059802,01:00:00,45.52,33.73,0.0
47877362901,01:00:00,40.12,41.37,0.0
47877901601,01:00:00,18.0,88.4,0.0
47871324401,01:00:00,49.42,0.58,0.19
47871209902,01:00:00,52.68,46.36,0.19
47877895501,01:00:00,46.96,64.09,0.0
47873728401,01:00:00,49.16,12.64,0.0
47877363201,01:00:00,39.03,58.55,0.0
47876075601,01:00:00,48.15,20.18,0.0
47870160502,01:00:00,32.43,82.66,0.0
47870084001,01:00:00,44.93,36.4,0.0
47873728002,01:00:00,40.7,72.48,0.0
